Zipcode,City,County,State,Country,Timezone
85014-1128,Phoenix,Maricopa,AZ,US,US/Mountain
85017-3211,Phoenix,Maricopa,AZ,US,US/Mountain
85034-6735,Phoenix,Maricopa,AZ,US,US/Mountain
85040-2147,Phoenix,Maricopa,AZ,US,US/Mountain
85043-3200,Phoenix,Maricopa,AZ,US,US/Mountain
85142,Queen Creek,Maricopa,AZ,US,US/Mountain
85142-9756,Queen Creek,Maricopa,AZ,US,US/Mountain
85260-6136,Scottsdale,Maricopa,AZ,US,US/Mountain
85262-5166,Scottsdale,Maricopa,AZ,US,US/Mountain
85284-4514,Tempe,Maricopa,AZ,US,US/Mountain
85286-1707,Chandler,Maricopa,AZ,US,US/Mountain
85333,Dateland,Yuma,AZ,US,US/Mountain
85374-9893,Surprise,Maricopa,AZ,US,US/Mountain
85658-4543,Marana,Pima,AZ,US,US/Mountain
85705-5651,Tucson,Pima,AZ,US,US/Mountain
85711-2604,Tucson,Pima,AZ,US,US/Mountain
85711-5206,Tucson,Pima,AZ,US,US/Mountain
85711-5603,Tucson,Pima,AZ,US,US/Mountain
85712-2704,Tucson,Pima,AZ,US,US/Mountain
85742-8162,Tucson,Pima,AZ,US,US/Mountain
86043,Second Mesa,Navajo,AZ,US,US/Mountain
87110-5041,Albuquerque,Bernalillo,NM,US,US/Mountain
87121-2116,Albuquerque,Bernalillo,NM,US,US/Mountain
87122-2807,Albuquerque,Bernalillo,NM,US,US/Mountain
88005,Las Cruces,Do�a Ana,NM,US,US/Mountain
59326,Fallon,Prairie,MT,US,US/Mountain
79902-5502,El Paso,El Paso,TX,US,US/Mountain
79903-2733,El Paso,El Paso,TX,US,US/Mountain
79907-7435,El Paso,El Paso,TX,US,US/Mountain
79924-4411,El Paso,El Paso,TX,US,US/Mountain
79930-4522,El Paso,El Paso,TX,US,US/Mountain
79936-5163,El Paso,El Paso,TX,US,US/Mountain
80016-1304,Aurora,Arapahoe,CO,US,US/Mountain
80130-7104,Highlands Ranch,Douglas,CO,US,US/Mountain
80215-3728,Lakewood,Jefferson,CO,US,US/Mountain
80223-4123,Denver,Denver,CO,US,US/Mountain
80224-3008,Denver,Denver,CO,US,US/Mountain
80504-9538,Longmont,Weld,CO,US,US/Mountain
80513-8238,Berthoud,Larimer,CO,US,US/Mountain
80601-6748,Brighton,Adams,CO,US,US/Mountain
80831-8632,Peyton,El Paso,CO,US,US/Mountain
80909-2720,Colorado Springs,El Paso,CO,US,US/Mountain
80911-1729,Colorado Springs,El Paso,CO,US,US/Mountain
81611,Aspen,Pitkin,CO,US,US/Mountain
82729,Sundance,Crook,WY,US,US/Mountain
83316-5018,Buhl,Twin Falls,ID,US,US/Mountain
83338-6780,Jerome,Jerome,ID,US,US/Mountain
83651-8217,Nampa,Canyon,ID,US,US/Mountain
84025-2554,Farmington,Davis,UT,US,US/Mountain
84067-2937,Roy,Weber,UT,US,US/Mountain
84074-9531,Tooele,Tooele,UT,US,US/Mountain
84084-4006,West Jordan,Salt Lake,UT,US,US/Mountain
84106-2051,Salt Lake City,Salt Lake,UT,US,US/Mountain
84120-2149,West Valley City,Salt Lake,UT,US,US/Mountain
84120-6233,West Valley City,Salt Lake,UT,US,US/Mountain
84403-2158,Ogden,Weber,UT,US,US/Mountain
84403-4313,Ogden,Weber,UT,US,US/Mountain
85006-2748,Phoenix,Maricopa,AZ,US,US/Mountain
85009-5858,Phoenix,Maricopa,AZ,US,US/Mountain
85015-4502,Phoenix,Maricopa,AZ,US,US/Mountain
85017-3332,Phoenix,Maricopa,AZ,US,US/Mountain
85019-1726,Phoenix,Maricopa,AZ,US,US/Mountain
85020-1426,Phoenix,Maricopa,AZ,US,US/Mountain
85021-3132,Phoenix,Maricopa,AZ,US,US/Mountain
85022-5302,Phoenix,Maricopa,AZ,US,US/Mountain
85034-2320,Phoenix,Maricopa,AZ,US,US/Mountain
85281-4600,Tempe,Maricopa,AZ,US,US/Mountain
85284-5107,Tempe,Maricopa,AZ,US,US/Mountain
85302-3033,Glendale,Maricopa,AZ,US,US/Mountain
85307,Glendale,Maricopa,AZ,US,US/Mountain
85353-1353,Tolleson,Maricopa,AZ,US,US/Mountain
85701-1600,Tucson,Pima,AZ,US,US/Mountain
85701-2021,Tucson,Pima,AZ,US,US/Mountain
85701-3005,Tucson,Pima,AZ,US,US/Mountain
85704-3812,Tucson,Pima,AZ,US,US/Mountain
85704-3881,Tucson,Pima,AZ,US,US/Mountain
85704-4332,Tucson,Pima,AZ,US,US/Mountain
85705-1279,Tucson,Pima,AZ,US,US/Mountain
